tax	DEPbarcode1	DEPbarcode2	DEPbarcode3	DEPbarcode4	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Arabiibacter;Arabiibacter massiliensis	0	0	0	2	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Phyllobacterium;Phyllobacterium zundukense	0	0	0	2	0	0	0	0	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus atrophaeus	0	0	0	0	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae	0	0	0	0	0	0	0	2	0	0	0	0	2
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. NCPPB 2350	0	0	0	0	0	0	0	0	0	0	1	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;Hydrogenophaga sp. YM1	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia sp. LPB0304	0	0	0	1	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chitiniphilus;Chitiniphilus sp. CD1	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Iodobacter;Iodobacter ciconiae	0	0	1	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. GBBC 1281	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira;Thalassospira marina	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;Polynucleobacter wuianus	0	0	0	0	0	0	1	0	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium gonidiaformans	0	0	0	0	0	0	0	1	0	0	0	0	1
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Aquisphaera;Aquisphaera giovannonii	0	0	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Urbifossiella;Urbifossiella limnaea	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Poriferisphaera;Poriferisphaera corsica	0	0	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Planctomycetota;Candidatus Brocadiia;Candidatus Brocadiales;Candidatus Brocadiaceae;Candidatus Kuenenia;Candidatus Kuenenia stuttgartiensis	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis;Mycoplasmopsis canis	0	0	0	0	0	1	0	0	0	0	0	0	1
